,Company Name,CIK
59,AFFORDABLE RESIDENTIAL COMMUNITIES INC,1265131
60,AFFYMETRIX INC,913077
61,AFLAC INC,4977
62,AGCO CORP /DE,880266
63,AGILENT TECHNOLOGIES INC,1090872
64,AGILYSYS INC,78749
65,AGL RESOURCES INC,1004155
66,AGREE REALTY CORP,917251
67,AIMCO PROPERTIES LP,926660
68,AIR METHODS CORP,816159
69,AIR PRODUCTS & CHEMICALS INC /DE/,2969
70,AIR T INC,353184
71,AIRGAS INC,804212
72,AK STEEL HOLDING CORP,918160
73,AKAMAI TECHNOLOGIES INC,1086222
74,AKORN INC,3116
75,ALABAMA GAS CORP,3146
76,ALABAMA POWER CO,3153
77,ALAMO GROUP INC,897077
78,ALASKA AIR GROUP INC,766421
79,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,1089511
80,ALBANY INTERNATIONAL CORP /DE/,819793
81,ALBANY MOLECULAR RESEARCH INC,1065087
82,ALBEMARLE CORP,915913
83,ALCOA INC,4281
84,ALEXANDER & BALDWIN INC,3453
85,ALEXANDERS INC,3499
86,ALEXANDRIA REAL ESTATE EQUITIES INC,1035443
87,ALEXION PHARMACEUTICALS INC,899866
88,ALICO INC,3545
89,ALIGN TECHNOLOGY INC,1097149
90,ALION SCIENCE & TECHNOLOGY CORP,1166568
91,ALLBRITTON COMMUNICATIONS CO,889156
92,ALLEGHANY CORP /DE,775368
93,ALLEGHENY TECHNOLOGIES INC,1018963
94,ALLERGAN INC,850693
95,ALLETE INC,66756
96,ALLIANCE DATA SYSTEMS CORP,1101215
97,ALLIANCE FINANCIAL CORP /NY/,796317
98,ALLIANCE GAMING CORP,2491
99,ALLIANCE IMAGING INC /DE/,817135
100,ALLIANT ENERGY CORP,352541
101,ALLIANT TECHSYSTEMS INC,866121
102,ALLIED DEFENSE GROUP INC,3952
103,ALLIED HEALTHCARE PRODUCTS INC,874710
104,ALLIED MOTION TECHNOLOGIES INC,46129
105,ALLMERICA FINANCIAL CORP,944695
106,ALLOS THERAPEUTICS INC,1097264
107,ALLSCRIPTS HEALTHCARE SOLUTIONS INC,1124804
108,ALLSTATE CORP,899051
109,ALLSTATE LIFE INSURANCE CO,352736
110,ALMOST FAMILY INC,799231
111,"ALNYLAM PHARMACEUTICALS, INC.",1178670
112,ALPHA PRO TECH LTD,884269
113,ALTAIR NANOTECHNOLOGIES INC,1016546
114,ALTERA CORP,768251
115,ALTRIA GROUP INC,764180
116,AMAZON COM INC,1018724
117,AMB PROPERTY CORP,1045609
118,AMBAC FINANCIAL GROUP INC,874501
119,AMBASE CORP,20639
120,AMBASSADORS GROUP INC,1162315
121,AMBER RESOURCES CO OF COLORADO,276750
122,AMC ENTERTAINMENT INC,722077
123,AMCOL INTERNATIONAL CORP,813621
124,AMCON DISTRIBUTING CO,928465
125,AMEDISYS INC,896262
126,AMERADA HESS CORP,4447
127,AMERCO /NV/,4457
128,AMEREN CORP,1002910
129,AMERENENERGY GENERATING CO,1135361
130,AMERIANA BANCORP,855574
131,AMERICAN AIRLINES INC,4515
132,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,1062231
133,AMERICAN BAR ASSOCIATION MEMBERS STATE STREET COLLECTIVE TR,878375
134,AMERICAN BILTRITE INC,4611
135,AMERICAN CAMPUS COMMUNITIES INC,1283630
136,AMERICAN CAPITAL STRATEGIES LTD,817473
137,AMERICAN CRYSTAL SUGAR CO /MN/,4828
138,AMERICAN DENTAL PARTNERS INC,1028087
139,AMERICAN ECOLOGY CORP,742126
140,AMERICAN ELECTRIC POWER CO INC,4904
141,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,1039828
142,AMERICAN EXPRESS CERTIFICATE CO,52428
143,AMERICAN EXPRESS CO,4962
144,AMERICAN EXPRESS CREDIT CORP,4969
145,AMERICAN FINANCIAL GROUP INC,1042046
146,AMERICAN GENERAL FINANCE CORP,25598
147,AMERICAN GENERAL FINANCE INC,25600
148,AMERICAN GREETINGS CORP,5133
149,AMERICAN HEALTHWAYS INC,704415
150,AMERICAN INDEPENDENCE CORP,97196
151,AMERICAN NATIONAL BANKSHARES INC,741516
152,AMERICAN PACIFIC CORP,350832
153,AMERICAN REALTY INVESTORS INC,1102238
154,AMERICAN SAFETY INSURANCE HOLDINGS LTD,783603
155,AMERICAN SCIENCE & ENGINEERING INC,5768
156,AMERICAN SKANDIA LIFE ASSURANCE CORP/CT,881453
157,AMERICAN SOFTWARE INC,713425
158,AMERICAN SPECTRUM REALTY INC,1121783
159,AMERICAN STATES WATER CO,1056903
160,AMERICAN SUPERCONDUCTOR CORP /DE/,880807
161,AMERICAN TECHNOLOGY CORP /DE/,924383
162,AMERICAN TOWER CORP /MA/,1053507
163,AMERICAN VANGUARD CORP,5981
164,AMERICAN WOODMARK CORP,794619
165,AMERICAS CARMART INC,799850
166,AMERICREDIT CORP,804269
167,AMERIGON INC,903129
168,AMERIGROUP CORP,1064863
169,AMERINST INSURANCE GROUP LTD,1065201
170,AMERISERV FINANCIAL INC /PA/,707605
171,AMERISOURCEBERGEN CORP,1140859
172,AMERISTAR CASINOS INC,912145
173,AMERITRADE HOLDING CORP,1173431
174,AMERITRANS CAPITAL CORP,1064015
175,AMERON INTERNATIONAL CORP,790730
176,AMES NATIONAL CORP,1132651
177,AMETEK INC/,1037868
178,AMGEN INC,318154
179,AMKOR TECHNOLOGY INC,1047127
180,AMN HEALTHCARE SERVICES INC,1142750
181,AMPAL-AMERICAN ISRAEL CORP,731859
182,AMPCO PITTSBURGH CORP,6176
183,AMPHENOL CORP /DE/,820313
184,AMR CORP,6201
185,AMREP CORP,6207
186,AMSCAN HOLDINGS INC,1024729
187,AMSURG CORP,895930
188,AMTECH SYSTEMS INC,720500
189,AMYLIN PHARMACEUTICALS INC,881464
190,ANADARKO PETROLEUM CORP,773910
191,ANADIGICS INC,940332
192,ANADYS PHARMACEUTICALS INC,1128495
193,ANALOG DEVICES INC,6281
194,ANALOGIC CORP,6284
195,ANALYSTS INTERNATIONAL CORP,6292
196,ANALYTICAL SURVEYS INC,753048
197,ANCHOR BANCORP WISCONSIN INC,885322
198,ANDERSONS INC,821026
199,ANGIODYNAMICS INC,1275187
200,ANIKA THERAPEUTICS INC,898437
201,ANIXTER INTERNATIONAL INC,52795
202,ANNALY MORTGAGE MANAGEMENT INC,1043219
203,ANSWERTHINK INC,1057379
204,ANSYS INC,1013462
205,ANTIGENICS INC /DE/,1098972
206,ANWORTH MORTGAGE ASSET CORP,1047884
207,AON CORP,315293
208,AP PHARMA INC /DE/,818033
209,"APA ENTERPRISES, INC.",796505
210,APACHE CORP,6769
211,APARTMENT INVESTMENT & MANAGEMENT CO,922864
212,APCO ARGENTINA INC/NEW,311471
213,APOGEE ENTERPRISES INC,6845
214,APOLLO GROUP INC,929887
215,APOLLO INVESTMENT CORP,1278752
216,APPALACHIAN POWER CO,6879
217,APPLE COMPUTER INC,320193
218,APPLE REIT SIX INC,1277151
219,APPLETON PAPERS INC/WI,1144326
220,APPLIED DIGITAL SOLUTIONS INC,924642
221,APPLIED INDUSTRIAL TECHNOLOGIES INC,109563
222,APPLIED MATERIALS INC /DE,6951
223,APPLIED MICRO CIRCUITS CORP,711065
224,APRIA HEALTHCARE GROUP INC,882289
225,APTARGROUP INC,896622
226,AQUA AMERICA INC,78128
227,ARADIGM CORP,1013238
228,ARBITRON INC,109758
229,ARBOR REALTY TRUST INC,1253986
230,ARC WIRELESS SOLUTIONS INC,826326
231,"ARCADIA RESOURCES, INC",1071941
232,ARCH CAPITAL GROUP LTD.,947484
233,ARCH COAL INC,1037676
234,ARCHER DANIELS MIDLAND CO,7084
235,ARCTIC CAT INC,719866
236,ARDEN GROUP INC,225051
237,ARENA PHARMACEUTICALS INC,1080709
238,ARES CAPITAL CORP,1287750
239,ARIAD PHARMACEUTICALS INC,884731
240,ARIBA INC,1084755
241,ARIZONA PUBLIC SERVICE CO,7286
242,ARK RESTAURANTS CORP,779544
243,ARKANSAS BEST CORP /DE/,894405
244,ARMSTRONG WORLD INDUSTRIES INC,7431
245,AROTECH CORP,916529
246,ARQULE INC,1019695
247,ARRAY BIOPHARMA INC,1100412
248,ARRIS GROUP INC,1141107
249,ARROW ELECTRONICS INC,7536
250,ARROW FINANCIAL CORP,717538
251,ARTESIAN RESOURCES CORP,863110
252,ARTHROCARE CORP,1005010
253,ARVINMERITOR INC,1113256
254,ASBURY AUTOMOTIVE GROUP INC,1144980
255,ASHFORD HOSPITALITY TRUST INC,1232582
256,ASIAINFO HOLDINGS INC,1100969
257,ASPEN INSURANCE HOLDINGS LTD,1267395
258,ASPEN TECHNOLOGY INC /DE/,929940
259,ASSET ACCEPTANCE CAPITAL CORP,1264707
260,ASSOCIATED BANC-CORP,7789
261,ASSOCIATED ESTATES REALTY CORP,911635
262,ASSURANT INC,1267238
263,ASSURED GUARANTY LTD,1273813
264,ASTA FUNDING INC,1001258
265,ASTEA INTERNATIONAL INC,945989
266,ASTEC INDUSTRIES INC,792987
267,ASTORIA FINANCIAL CORP,910322
268,ASTRONICS CORP,8063
269,ATLANTIC AMERICAN CORP,8177
270,ATLANTIC CITY ELECTRIC CO,8192
271,ATLANTIC TELE NETWORK INC /DE,879585
272,ATMEL CORP,872448
273,ATMI INC,1041577
274,ATMOS ENERGY CORP,731802
275,ATP OIL & GAS CORP,1123647
276,ATRION CORP,701288
277,ATWOOD OCEANICS INC,8411
278,AUBURN NATIONAL BANCORPORATION INC,750574
279,AUDIOVOX CORP,807707
280,AURA SYSTEMS INC,826253
281,AUTHENTIDATE HOLDING CORP,885074
282,AUTODESK INC,769397
283,AUTOLIV INC,1034670
284,AUTOMATIC DATA PROCESSING INC,8670
285,AUTONATION INC /FL,350698
286,AUTOZONE INC,866787
287,AVALON HOLDINGS CORP,1061069
288,AVALONBAY COMMUNITIES INC,915912
289,AVANT IMMUNOTHERAPEUTICS INC,744218
290,AVATAR HOLDINGS INC,39677
291,AVATECH SOLUTIONS INC,852437
292,AVAYA INC,1116521
293,AVERY DENNISON CORPORATION,8818
294,AVI BIOPHARMA INC,873303
295,AVID TECHNOLOGY INC,896841
296,AVISTA CORP,104918
297,AVISTAR COMMUNICATIONS CORP,1111632
298,AVNET INC,8858
299,AVON PRODUCTS INC,8868
300,AVX CORP,859163
301,AWARE INC /MA/,1015739
302,AXA EQUITABLE LIFE INSURANCE CO,727920
303,AXA FINANCIAL INC,888002
304,AXCELIS TECHNOLOGIES INC,1113232
305,AXIS CAPITAL HOLDINGS LTD,1214816
306,AXONYX INC,1070698
307,AXT INC,1051627
308,"ADVANCE AMERICA, CASH ADVANCE CENTERS, INC.",1299704
309,AMERICAN REPROGRAPHICS CO,1305168
310,"B&G FOODS, INC.",1278027
311,BADGER METER INC,9092
312,BAKER HUGHES INC,808362
313,BAKER MICHAEL CORP,9263
314,BALCHEM CORP,9326
315,BALDWIN & LYONS INC,9346
316,BALDWIN TECHNOLOGY CO INC,805792
317,BALL CORP,9389
318,BALLANTYNE OF OMAHA INC,946454
319,BALTIMORE GAS & ELECTRIC CO,9466
320,BANCFIRST CORP /OK/,760498
321,BANCORP RHODE ISLAND INC,1109525
322,BANCORPSOUTH INC,701853
323,BANCTRUST FINANCIAL GROUP INC,783739
324,BANK MUTUAL CORP,1123270
325,BANK OF AMERICA CORP /DE/,70858
326,BANK OF HAWAII CORP,46195
327,BANK OF KENTUCKY FINANCIAL CORP,934547
328,BANK OF THE OZARKS INC,1038205
329,BANKATLANTIC BANCORP INC,921768
330,BANNER CORP,946673
331,BARD C R INC /NJ/,9892
332,BARNES GROUP INC,9984
333,BARRETT BUSINESS SERVICES INC,902791
334,BASSETT FURNITURE INDUSTRIES INC,10329
335,BAXTER INTERNATIONAL INC,10456
336,BAY BANKS OF VIRGINIA INC,1034594
337,BAYLAKE CORP,275119
338,BB&T CORP,92230
339,BCB BANCORP INC,1228454
340,BCTC IV ASSIGNOR CORP,1003815
341,BCTC V ASSIGNOR CORP,1267426
342,BE AEROSPACE INC,861361
343,BEACON POWER CORP,1103345
344,BEACON ROOFING SUPPLY INC,1124941
345,BEASLEY BROADCAST GROUP INC,1099160
346,BEAZER HOMES USA INC,915840
347,BEBE STORES INC,1059272
348,BECTON DICKINSON & CO,10795
349,BED BATH & BEYOND INC,886158
350,BEL FUSE INC /NJ,729580
351,BELDEN CDT INC.,913142
352,BELL OIL CORP,1045543
353,BELO CORP,356080
354,BEMIS CO INC,11199
355,BENCHMARK ELECTRONICS INC,863436
356,BENIHANA INC,935226
357,BERKLEY W R CORP,11544
358,BERKSHIRE BANCORP INC /DE/,759718
359,BERKSHIRE HATHAWAY INC,1067983
360,BERKSHIRE HILLS BANCORP INC,1108134
361,BERKSHIRE INCOME REALTY INC,1178862
362,BERRY PETROLEUM CO,778438
363,BFC FINANCIAL CORP,315858
364,BILL BARRETT CORP,1172139
365,BIMINI MORTGAGE MANAGEMENT INC,1275477
366,BIO RAD LABORATORIES INC,12208
367,BIOANALYTICAL SYSTEMS INC,720154
368,BIOCRYST PHARMACEUTICALS INC,882796
369,BIOGEN IDEC INC,875045
370,BIOJECT MEDICAL TECHNOLOGIES INC,810084
371,BIOMARIN PHARMACEUTICAL INC,1048477
372,BIOMET INC,351346
373,BIOTIME INC,876343
374,BIRNER DENTAL MANAGEMENT SERVICES INC,948072
375,BITSTREAM INC,818813
376,BJS RESTAURANTS INC,1013488
377,BKF CAPITAL GROUP INC,9235
378,BLACK BOX CORP,849547
379,BLACK HILLS CORP /SD/,1130464
380,BLACK HILLS POWER INC,12400
381,BLACKBAUD INC,1280058
382,BLOUNT INTERNATIONAL INC,1001606
383,BLUE COAT SYSTEMS INC,1095600
384,BLUE NILE INC,1091171
385,BLUE VALLEY BAN CORP,901842
386,BLUEFLY INC,1030896
387,BLUEGREEN CORP,778946
388,BMC SOFTWARE INC,835729
389,BNC BANCORP,1210227
390,BNL FINANCIAL CORP,757641
391,BNSF RAILWAY CO,15511
392,BOEING CAPITAL CORP,711513
393,BOEING CO,12927
394,BOK FINANCIAL CORP ET AL,875357
395,BOLT TECHNOLOGY CORP,354655
396,"BOOKHAM, INC.",1110647
397,BORDEN CHEMICAL INC,13239
398,BORGWARNER INC,908255
399,BOSTON BEER CO INC,949870
400,BOSTON CAPITAL TAX CREDIT FUND II LTD PARTNERSHIP,853566
401,BOSTON CAPITAL TAX CREDIT FUND LTD PARTNERSHIP,835095
402,BOSTON EDISON CO,13372
403,BOSTON LIFE SCIENCES INC /DE,94784
404,BOSTON PRIVATE FINANCIAL HOLDINGS INC,821127
405,BOSTON PROPERTIES INC,1037540
406,BOSTON PROPERTIES LTD PARTNERSHIP,1043121
407,BOSTON SCIENTIFIC CORP,885725
408,BOTTOMLINE TECHNOLOGIES INC /DE/,1073349
409,BOWL AMERICA INC,13573
410,BOYD GAMING CORP,906553
411,BPC HOLDING CORP,919465
412,BRADY CORP,746598
413,BRE PROPERTIES INC /MD/,1011174
414,BRIDGE BANCORP INC,846617
415,BRIGGS & STRATTON CORP,14195
416,BRIGHAM EXPLORATION CO,1034755
417,BRIGHTPOINT INC,918946
418,BRINKER INTERNATIONAL INC,703351
419,BRINKS CO,78890
420,BRISTOL MYERS SQUIBB CO,14272
421,BROADCOM CORP,1054374
422,BROADVISION INC,920448
423,BROCADE COMMUNICATIONS SYSTEMS INC,1009626
424,BROOKLINE BANCORP INC,1049782
425,BROOKS AUTOMATION INC,933974
426,BROWN & BROWN INC,79282
427,BROWN FORMAN CORP,14693
428,BRUKER BIOSCIENCES CORP,1109354
429,BRUNSWICK CORP,14930
430,BRUSH ENGINEERED MATERIALS INC,1104657
431,BRYN MAWR BANK CORP,802681
432,BSQUARE CORP /WA,1054721
433,BTU INTERNATIONAL INC,840883
434,BUCKEYE TECHNOLOGIES INC,899597
435,BUFFALO WILD WINGS INC,1062449
436,BUILD A BEAR WORKSHOP INC,1113809
437,BUNGE LTD,1144519
438,BURLINGTON COAT FACTORY WAREHOUSE CORP,718916
439,BUTLER NATIONAL CORP,15847
440,"BANCORP, INC.",1295401
441,BIOMED REALTY TRUST INC,1289236
442,BLUELINX HOLDINGS INC.,1301787
443,"BROOKLYN FEDERAL BANCORP, INC.",1310313
444,C & F FINANCIAL CORP,913341
445,C H ROBINSON WORLDWIDE INC,1043277
446,CABELAS INC,1267130
447,CABLEVISION SYSTEMS CORP /NY,1053112
448,CABOT CORP,16040
449,CABOT MICROELECTRONICS CORP,1102934
450,CABOT OIL & GAS CORP,858470
451,CACHE INC,350199
452,CACI INTERNATIONAL INC /DE/,16058
453,CADENCE DESIGN SYSTEMS INC,813672
454,CADIZ INC,727273
455,CADUS CORP,911148
456,CAL DIVE INTERNATIONAL INC,866829
457,CAL MAINE FOODS INC,16160
458,CALGON CARBON CORPORATION,812701
459,CALIFORNIA FIRST NATIONAL BANCORP,803016
460,CALIPER LIFE SCIENCES INC,1014672
461,CALLAWAY GOLF CO /CA,837465
462,CALLIDUS SOFTWARE INC,1035748
463,CALLON PETROLEUM CO,928022
464,CALPINE CORP,916457
465,CAMBREX CORP,820081
466,CAMBRIDGE HEART INC,913443
467,CAMCO FINANCIAL CORP,16614
468,CAMDEN NATIONAL CORP,750686
469,CAMPBELL SOUP CO,16732
470,CANANDAIGUA NATIONAL CORP,759458
471,CANCERVAX CORP,1131907
472,CANDIES INC,857737
473,CANTEL MEDICAL CORP,19446
474,CANTERBURY PARK HOLDING CORP,926761
475,CAPITAL BANK CORP,1071992
476,CAPITAL CITY BANK GROUP INC,726601
477,CAPITAL CROSSING PREFERRED CORP,1072806
478,CAPITAL LEASE FUNDING INC,1057689
479,CAPITAL ONE FINANCIAL CORP,927628
480,CAPITAL SENIOR LIVING CORP,1043000
481,CAPITAL SOUTHWEST CORP,17313
482,CAPITAL TRUST INC,1061630
483,CAPITALSOURCE INC,1241199
484,CAPITOL BANCORP LTD,840264
485,CAPSTEAD MORTGAGE CORP,766701
486,CAPSTONE TURBINE CORP,1009759
487,CARBO CERAMICS INC,1009672
488,CARDINAL FINANCIAL CORP,1060523
489,CARDINAL HEALTH INC,721371
490,CAREER EDUCATION CORP,1046568
491,CAREY W P & CO LLC,1025378
492,CARLISLE COMPANIES INC,790051
493,CARMAX INC,1170010
494,CARMIKE CINEMAS INC,799088
495,CAROLINA POWER & LIGHT CO,17797
496,CARPENTER TECHNOLOGY CORP,17843
497,CARRIAGE SERVICES INC,1016281
498,CARRIZO OIL & GAS INC,1040593
499,CARROLLTON BANCORP,859222
500,CARTERS INC,1060822
501,CARVER BANCORP INC,1016178
502,CASCADE BANCORP,865911
503,CASCADE MICROTECH INC,864559
504,CASELLA WASTE SYSTEMS INC,911177
505,CASEYS GENERAL STORES INC,726958
506,CASH AMERICA INTERNATIONAL INC,807884
507,CASS INFORMATION SYSTEMS INC,708781
508,CASTLE A M & CO,18172
509,CATERPILLAR FINANCIAL SERVICES CORP,764764
510,CATERPILLAR INC,18230
511,CATHAY GENERAL BANCORP,861842
512,CAVCO INDUSTRIES INC,278166
513,CB RICHARD ELLIS GROUP INC,1138118
514,CBL & ASSOCIATES PROPERTIES INC,910612
515,CBRL GROUP INC,1067294
516,CCA INDUSTRIES INC,721447
517,CCFNB BANCORP INC,731122
518,CDI CORP,18396
519,CEC ENTERTAINMENT INC,813920
520,CEDAR SHOPPING CENTERS INC,761648
521,CEL SCI CORP,725363
522,CELADON GROUP INC,865941
523,CELGENE CORP /DE/,816284
524,CELL THERAPEUTICS INC,891293
525,CELLEGY PHARMACEUTICALS INC,887247
526,CELSION CORP,749647
527,CENDANT CORP,723612
528,CENTENE CORP,1071739
529,CENTER BANCORP INC,712771
530,CENTER FINANCIAL CORP,1174820
531,CENTERPOINT ENERGY INC,1130310
532,CENTERPOINT ENERGY RESOURCES CORP,1042773
533,CENTERPOINT ENERGY TRANSITION BOND CO LLC,1098911
534,CENTERSTATE BANKS OF FLORIDA INC,1102266
535,CENTRAL BANCORP INC /MA/,1076394
536,CENTRAL EUROPEAN DISTRIBUTION CORP,1046880
537,CENTRAL EUROPEAN MEDIA ENTERPRISES LTD,925645
538,CENTRAL GARDEN & PET CO,887733
539,CENTRAL HUDSON GAS & ELECTRIC CORP,18647
540,CENTRAL PACIFIC FINANCIAL CORP,701347
541,CENTRAL VERMONT PUBLIC SERVICE CORP,18808
542,CENTRAL VIRGINIA BANKSHARES INC,804561
543,CENTURY ALUMINUM CO,949157
544,CENTURY BANCORP INC,812348
545,CENTURY BUSINESS SERVICES INC,944148
546,CENTURYTEL INC,18926
547,"CENVEO, INC",920321
548,CERADYNE INC,18937
549,CERAMICS PROCESS SYSTEMS CORP/DE/,814676
550,CERNER CORP /MO/,804753
551,CERTEGY INC,1136893
552,CERTRON CORP,19002
553,CERUS CORP,1020214
554,CFS BANCORP INC,1058438
555,CH ENERGY GROUP INC,1061393
556,CH2M HILL COMPANIES LTD,777491
557,CHARLES & COLVARD LTD,1015155
558,CHARLES RIVER ASSOCIATES INC,1053706
559,CHARLES RIVER LABORATORIES INTERNATIONAL INC,1100682
560,CHART INDUSTRIES INC,892553
561,CHARTER COMMUNICATIONS INC /MO/,1091667
562,CHARTER FINANCIAL CORP/GA,1136796
563,CHASE CORP,830524
564,CHAUS BERNARD INC,793983
565,CHECKPOINT SYSTEMS INC,215419
566,CHEMED CORP,19584
567,CHEMICAL FINANCIAL CORP,19612
568,CHEMUNG FINANCIAL CORP,763563
569,CHENIERE ENERGY INC,3570
570,CHESAPEAKE ENERGY CORP,895126
571,CHESAPEAKE UTILITIES CORP,19745
572,CHEVRONTEXACO CORP,93410
573,CHICAGO BRIDGE & IRON CO N V,1027884
574,CHICAGO MERCANTILE EXCHANGE HOLDINGS INC,1156375
575,CHICAGO RIVET & MACHINE CO,19871
576,CHINDEX INTERNATIONAL INC,922717
577,CHIQUITA BRANDS INTERNATIONAL INC,101063
578,CHOICE HOTELS INTERNATIONAL INC /DE,1046311
579,CHOICEONE FINANCIAL SERVICES INC,803164
580,CHRISTOPHER & BANKS CORP,883943
581,CHROMCRAFT REVINGTON INC,884130
582,CHS INC,823277
583,CHUBB CORP,20171
584,CHUGACH ELECTRIC ASSOCIATION INC,878004
585,CHURCH & DWIGHT CO INC /DE/,313927
586,CHURCHILL DOWNS INC,20212
587,CHYRON CORP,20232
588,CIBER INC,918581
589,CIENA CORP,936395
590,CIGNA CORP,701221
591,CIMAREX ENERGY CO,1168054
592,CIMETRIX INC,786620
593,CINCINNATI BELL INC,716133
594,CINCINNATI FINANCIAL CORP,20286
595,CINCINNATI GAS & ELECTRIC CO,20290
596,CINEMARK USA INC /TX,885975
597,CINTAS CORP,723254
598,CIPHERGEN BIOSYSTEMS INC,926617
599,CIRCOR INTERNATIONAL INC,1091883
600,CIRRUS LOGIC INC,772406
601,CISCO SYSTEMS INC,858877
602,CIT GROUP INC,1171825
603,CITIGROUP INC,831001
604,CITIZENS & NORTHERN CORP,810958
605,CITIZENS BANCSHARES CORP /GA/,813640
606,CITIZENS BANKING CORP,351077
607,CITIZENS COMMUNICATIONS CO,20520
608,CITIZENS FINANCIAL SERVICES INC,739421
609,CITIZENS HOLDING CO /MS/,1075706
610,CITIZENS INC,24090
611,CITIZENS SOUTH BANKING CORP,1051871
612,CITRIX SYSTEMS INC,877890
613,CITY HOLDING CO,726854
614,CITY NATIONAL BANCSHARES CORP,714980
615,CITY NATIONAL CORP,201461
616,CLAIBORNE LIZ INC,352363
617,CLARUS CORP,913277
618,CLAYTON WILLIAMS ENERGY INC /DE,880115
619,CLEAN DIESEL TECHNOLOGIES INC,949428
620,CLEAN HARBORS INC,822818
621,CLEAR CHANNEL COMMUNICATIONS INC,739708
622,CLECO CORP,1089819
623,CLECO POWER LLC,18672
624,CLEVELAND CLIFFS INC,764065
625,CLEVELAND ELECTRIC ILLUMINATING CO,20947
626,CLIFTON SAVINGS BANCORP INC,1240581
627,CLOROX CO /DE/,21076
628,CMGI INC,914712
629,CMS ENERGY CORP,811156
630,CNA FINANCIAL CORP,21175
631,CNB CORP /MI/,779125
632,CNB CORP /SC/,764581
633,CNB FINANCIAL CORP/PA,736772
634,CNF INC,23675
635,CNL INCOME PROPERTIES INC,1261159
636,COACH INC,1116132
637,COACTIVE MARKETING GROUP INC,886475
638,COAST DISTRIBUTION SYSTEM INC,728303
639,COBIZ INC,1028734
640,COBRA ELECTRONICS CORP,30828
641,COCA COLA BOTTLING CO CONSOLIDATED /DE/,317540
642,COCA COLA CO,21344
643,CODORUS VALLEY BANCORP INC,806279
644,COEUR D ALENE MINES CORP,215466
645,COGENT COMMUNICATIONS GROUP INC,1158324
646,COGNEX CORP,851205
647,COGNIZANT TECHNOLOGY SOLUTIONS CORP,1058290
648,COHEN & STEERS INC,1284812
649,COHERENT INC,21510
650,COHU INC,21535
651,COINSTAR INC,941604
652,COLE KENNETH PRODUCTIONS INC,921691
653,COLGATE PALMOLIVE CO,21665
654,COLLECTORS UNIVERSE INC,1089143
655,COLONIAL PROPERTIES TRUST,909111
656,COLONIAL REALTY LIMITED PARTNERSHIP,1013844
657,COLONY BANKCORP INC,711669
658,COLORADO INTERSTATE GAS CO,200155
659,COLUMBIA BANKING SYSTEM INC,887343
660,COLUMBIA LABORATORIES INC,821995
661,COLUMBIA SPORTSWEAR CO,1050797
662,COLUMBUS MCKINNON CORP,1005229
663,COLUMBUS SOUTHERN POWER CO /OH/,22198
664,COMCAST CORP,1166691
665,COMDISCO HOLDING CO INC,1179484
666,COMERICA INC /NEW/,28412
